date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:21	801322/801322	---M--	200	added ('OK')	application/octet-stream	etag:0x8D8B345E058944E	https://sttecatesite.blob.core.windows.net/site2019/132545227969735144_TKT_TN_560x550.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132545227969735144_TKT_TN_560x550.png	(from https://tecate.com/)
13:17:23	692652/692652	---M--	200	added ('OK')	application/octet-stream	etag:0x8D88CB377B6981A	https://sttecatesite.blob.core.windows.net/site2019/132502817706712928_201112_Tecate_Navidad_Banners_560-550_V2.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132502817706712928_201112_Tecate_Navidad_Banners_560-550_V2.png	(from https://tecate.com/)
13:17:23	482966/482966	---M--	200	added ('OK')	application/octet-stream	etag:0x8D81F68B6257C4C	https://sttecatesite.blob.core.windows.net/site2019/132382649864825689_550x560%20familia%20V2.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132382649864825689_550x560%20familia%20V2.png	(from https://tecate.com/)
13:17:24	490238/490238	---M--	200	added ('OK')	application/octet-stream	etag:0x8D81F68957EC32E	https://sttecatesite.blob.core.windows.net/site2019/132382649316999709_550x560%20V2%20ambar.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132382649316999709_550x560%20V2%20ambar.png	(from https://tecate.com/)
13:17:24	29955/29955	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:23%20GMT	https://tecate.com/esta-es-la-nueva-tecate-ambar	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/esta-es-la-nueva-tecate-ambar.html	(from https://tecate.com/)
13:17:25	0/0	---M--	401	error ('Unauthorized')	text/html	date:Tue,%2016%20Mar%202021%2019:17:25%20GMT	https://tecate.com/manifiesto	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/manifiesto.2b.delayed	(from https://tecate.com/)
13:17:25	558368/558368	---M--	200	added ('OK')	application/octet-stream	etag:0x8D81F68D4296E19	https://sttecatesite.blob.core.windows.net/site2019/132382650368323694_550x560%20brotherhood%20V2.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132382650368323694_550x560%20brotherhood%20V2.png	(from https://tecate.com/)
13:17:26	7458/7458	---M--	200	added ('OK')	image/svg+xml	etag:%221d71794c3e6d622%22	https://tecate.com/img/logo_tecate_white.svg	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/logo_tecate_white.svg	(from https://tecate.com/)
13:17:27	29829/29829	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:26%20GMT	https://tecate.com/tecate-as-somos	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/tecate-as-somos.html	(from https://tecate.com/)
13:17:28	1639029/1639029	---M--	200	added ('OK')	application/octet-stream	etag:0x8D88D6F1E067019	https://sttecatesite.blob.core.windows.net/site2019/132503623462821151_201112_Tecate_Navidad_Banners_1500-500_V2%20(2).png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132503623462821151_201112_Tecate_Navidad_Banners_1500-500_V2%20(2).png	(from https://tecate.com/)
13:17:29	29920/29920	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:28%20GMT	https://tecate.com/te-metes-con-uno-te-metes-con-todos	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/te-metes-con-uno-te-metes-con-todos.html	(from https://tecate.com/)
13:17:30	677427/677427	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7AF17F688D0CB	https://sttecatesite.blob.core.windows.net/site2019/132259157750295876_160220_Tecate_OVNI_Adaptaciones_TN_2-1.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132259157750295876_160220_Tecate_OVNI_Adaptaciones_TN_2-1.png	(from https://tecate.com/)
13:17:31	29954/29954	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:31%20GMT	https://tecate.com/as-se-vivi-el-tecate-bajo	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/as-se-vivi-el-tecate-bajo.html	(from https://tecate.com/)
13:17:32	1538811/1538811	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7589D33414057	https://sttecatesite.blob.core.windows.net/site2019/132164072486299084_191023_Tecate_LanzamientoAmbar_Historia_TN_1500-550.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132164072486299084_191023_Tecate_LanzamientoAmbar_Historia_TN_1500-550.png	(from https://tecate.com/)
13:17:32	209424/209424	---M--	200	added ('OK')	application/octet-stream	etag:0x8D7728BA6BE4559	https://sttecatesite.blob.core.windows.net/site2019/132192584413409988_200619_TECATE_TN_SITE_BAJIO_1300x550_v1.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132192584413409988_200619_TECATE_TN_SITE_BAJIO_1300x550_v1.jpg	(from https://tecate.com/)
